current_account_nbr,credit_risk_category,avg_q4_spend,cu_crd_line,recommended_credit_line_increase
xYaLrD9IvmbVl1PB,High Risk,91.5572222222222,2000.0,No Increase
JM78WNziiRWgmL8e,High Risk,65.90444444444442,2500.0,No Increase
bv4NLVhWTGCf8KgC,High Risk,32.24333333333334,3000.0,No Increase
nrXceQabYIHo31lp,Watchlist,204.6211111111111,,Data Missing
L0r6GlmV0Ngx7E9P,Watchlist,204.6211111111111,,Data Missing
JiogbNNfOSWVGjdr,Watchlist,204.6211111111111,,Data Missing
nb2pG80DDq4ucyZI,High Risk,66.24444444444447,3600.0,No Increase
kqrsB4FtU00uXpWU,High Risk,204.6211111111111,8000.0,No Increase
ppwFGSPBF57u8319,High Risk,92.46777777777774,2800.0,No Increase
dl4IvqYcRuuV1KhT,Very Low Risk,12.718888888888886,3800.0,190.0
xDQD4YfeSckOH1pD,Watchlist,204.6211111111111,,Data Missing
r4A6NcQMiBjNCUii,High Risk,318.1055555555556,9000.0,No Increase
BDv9gWilMmBWGjjV,High Risk,40.473333333333336,1200.0,No Increase
Afb8nfx4pLZvGESq,Low Risk,15.699444444444444,1700.0,85.0
qe96FkcjHsUmDpWf,High Risk,21.63166666666666,5000.0,No Increase
3bscZzjRuDHHVw3t,High Risk,121.555,2500.0,No Increase
y5nN49t9YN55K0nd,High Risk,109.14555555555556,13000.0,No Increase
Ip0WDQEQsagZ1xOv,High Risk,112.9966666666667,8500.0,No Increase
2bFrnhFQKhWMedvR,High Risk,34.593333333333334,2300.0,No Increase
a49OdyGvBc6obDdA,High Risk,12.771111111111113,2500.0,No Increase
FuwPKu3pU9poI6ed,High Risk,39.33055555555556,6000.0,No Increase
tG7tLhZEa0MC2bYP,High Risk,93.58388888888892,6000.0,No Increase
JBhLBtfZX6yHFjkG,Very Low Risk,28.15444444444445,6000.0,300.0
5rVeSpRWLJYZvjZQ,High Risk,29.285000000000007,2500.0,No Increase
Uo6KWmRU034Ni8Ak,High Risk,21.77611111111111,1500.0,No Increase
yN3WNxdUTkjDfP6U,High Risk,39.8088888888889,1000.0,No Increase
vKIo6AhEWZXstss0,High Risk,55.698888888888895,2100.0,No Increase
DegEXWChBT3QufC7,High Risk,35.56277777777778,800.0,No Increase
BdfTHAIAPUT5GQuJ,High Risk,29.15333333333333,8000.0,No Increase
0RSMyY4rwqNlEZo8,Watchlist,90.18,6900.0,Banker Decision
e1JtiGUgGbK7AKIj,High Risk,28.00055555555556,2600.0,No Increase
EBeNjYw4nGQbvZbU,High Risk,65.10888888888887,6000.0,No Increase
dlIW3dUz8b4sVoi9,High Risk,67.1572222222222,5000.0,No Increase
lSVfjrhM7z1F2456,High Risk,87.2433333333333,3000.0,No Increase
ALGEFKtAYmHEiM7C,High Risk,49.27611111111109,5200.0,No Increase
0ZSsa3P70rJoFmgx,Watchlist,204.6211111111111,,Data Missing
DMBEk9bL1jfAe5OW,High Risk,15.627777777777778,1000.0,No Increase
HP7moupRBoEuLz6j,High Risk,67.08000000000001,6500.0,No Increase
88kg7CiqFU8B9kw0,High Risk,17.134444444444448,400.0,No Increase
zQT6JxJ9rgAdDYwk,High Risk,231.54388888888892,3000.0,No Increase
PII6EHxHBqepaFZ5,High Risk,26.01833333333333,5000.0,No Increase
7Rj58Mn5XtBalWli,High Risk,26.281666666666663,5000.0,No Increase
o6kYNOWKjDl0wSTh,High Risk,487.0844444444445,3000.0,No Increase
huyzwDyP1TeEiapv,Very Low Risk,13.258333333333336,3000.0,150.0
7Fc7MJWNIq7GnEkw,High Risk,87.4616666666667,1500.0,No Increase
YSVTF2a4EQB8fKnn,High Risk,89.23666666666668,2000.0,No Increase
XHF0f8H97uToNEQJ,High Risk,55.12222222222223,1000.0,No Increase
Bef7gcLrAE11fhGC,Watchlist,204.6211111111111,,Data Missing
FSglswDATksbQMh5,High Risk,58.755,1000.0,No Increase
cMxkqiilMWQHnvCb,High Risk,18.784444444444446,900.0,No Increase
iYgQUdhwZV7dtbws,Watchlist,204.6211111111111,,Data Missing
JR7C7TLaso2pt9zS,High Risk,33.5761111111111,1000.0,No Increase
LcyVlOgcVzGxUajT,High Risk,204.6211111111111,1000.0,No Increase
JcLGeLb3SvSQLHPM,High Risk,583.7616666666669,7000.0,No Increase
nr5hankBg06AnlYX,High Risk,19.06777777777779,3000.0,No Increase
oPfOr1K8yFAmFMjs,High Risk,18.543333333333337,9000.0,No Increase
JshEHDRgOp6V4UAl,High Risk,204.6211111111111,1000.0,No Increase
3lavZvawKt9JTwoX,High Risk,330.45166666666665,7000.0,No Increase
Lxptbai4Ydb1zmHN,High Risk,42.921111111111095,2500.0,No Increase
RNAOToQEJLAre84j,High Risk,204.6211111111111,600.0,No Increase
i4hHTPgigr6j5qWp,High Risk,59.38055555555554,2200.0,No Increase
KaumwTipQLMsvTHp,Very Low Risk,204.6211111111111,2000.0,100.0
k9pfu4AvHxziUEMh,High Risk,43.06111111111113,10000.0,No Increase
ZSWfOyvdbMInTcCf,High Risk,32.45666666666666,100.0,No Increase
74FAXtVFnKVGvuNz,High Risk,50.23333333333334,18400.0,No Increase
LGhFFQXnm6KbI4AK,High Risk,38.255,3000.0,No Increase
yfdCElxXjtquDaLj,High Risk,36.56888888888889,1300.0,No Increase
uX6mtlduLizIn4oM,High Risk,34.52333333333333,2500.0,No Increase
7sDjQOZU4TVHT8w0,High Risk,29.004999999999995,3300.0,No Increase
g98tzTzVi9kpq8KE,Very Low Risk,84.21055555555556,13000.0,650.0
ykWWJPsEpJ6Yoq1K,High Risk,28.58055555555556,13000.0,No Increase
ZhX4QfNVk3kWhwii,High Risk,67.98500000000003,1500.0,No Increase
Y4zPiajcWDEJ3bN7,High Risk,30.67388888888889,3300.0,No Increase
oylIJqewUjGNbdf7,Very Low Risk,26.901666666666674,8000.0,400.0
4xQXtXwrtN4Mw5Lr,High Risk,74.98277777777774,4700.0,No Increase
RS1G9j4VVumlgsTp,High Risk,37.392777777777766,3000.0,No Increase
HRqQt6c1c3KkiBfW,High Risk,34.09555555555556,400.0,No Increase
x1gnoTxMohahipCu,High Risk,38.06111111111112,2500.0,No Increase
WdbjzvEzVdFZljoU,High Risk,94.27444444444444,4300.0,No Increase
7zrC15mL3qr7DDqz,High Risk,40.60722222222224,6000.0,No Increase
ZqtyUFxFkaYM3ZNj,High Risk,16.551666666666666,3500.0,No Increase
tx6qmTcu1QcreGVp,High Risk,16.447222222222223,2300.0,No Increase
86X8HeiOcZ0R4TgF,Very Low Risk,204.6211111111111,5000.0,250.0
BullbY75GB2MvjVX,High Risk,23.19722222222223,1500.0,No Increase
9ebuYKM65JErC2fc,High Risk,36.44833333333335,800.0,No Increase
yQjSuS6Jg7XkxiEB,High Risk,16.13444444444444,3400.0,No Increase
QvrmeAAzXLoYwJFe,High Risk,55.53722222222222,1200.0,No Increase
9JCYMyYiRohvNF9f,High Risk,37.47055555555558,1900.0,No Increase
LEw6ilx6Ek4JLGQD,High Risk,40.393888888888895,3800.0,No Increase
KI5qLsMjfgzf8ZYD,Very Low Risk,204.6211111111111,4000.0,200.0
ODZRHZadg9JJOZI6,High Risk,204.6211111111111,1700.0,No Increase
ZIkxydMuB6Q8MKOD,Low Risk,204.6211111111111,1300.0,65.0
jKa5SaE4cZTfLjnf,Watchlist,204.6211111111111,,Data Missing
njSNUyQCsIWM6FHC,High Risk,12.913333333333334,400.0,No Increase
AvTYUQErbQJNS4Cu,High Risk,45.02944444444445,6900.0,No Increase
wOP1HW5HiWQCdm8U,High Risk,41.216111111111104,7000.0,No Increase
uLutsLiWRF8o2ETy,Watchlist,204.6211111111111,,Data Missing
e95LrzLJ2dKsCHiZ,High Risk,22.47444444444444,2700.0,No Increase
nrdg064T24R7qa9L,Watchlist,204.6211111111111,,Data Missing
WVxxEP85fVeA33tz,High Risk,44.4338888888889,10000.0,No Increase
b1KuBV0p5WDQKErZ,High Risk,48.59833333333333,4500.0,No Increase
ZFuNQ1L31qG7s65c,Very Low Risk,13.36444444444444,6000.0,300.0
iDxf1396q9qsUELj,High Risk,103.275,4000.0,No Increase
pJ3yvjLnudC5XYZd,High Risk,16.88555555555556,1800.0,No Increase
UlXPV3huLS8yJiDT,Very Low Risk,17.115555555555556,1500.0,75.0
30z0oQX5JseeUHbu,High Risk,588.6177777777779,2500.0,No Increase
vVfZeg03oMyRKlwi,High Risk,35.3038888888889,1300.0,No Increase
QU0R3ZFRkau6WIIk,High Risk,39.35888888888889,4000.0,No Increase
gXMmAep12gB4KeZG,High Risk,25.10333333333333,2500.0,No Increase
yaWq7zkWQY8Sse4j,High Risk,30.64444444444445,1000.0,No Increase
1AQQW4FKy0TsAZh1,High Risk,38.77555555555557,2600.0,No Increase
6y0pJTJcBKQKrgzc,High Risk,108.39611111111113,12200.0,No Increase
wxHC3MFcJG8KmLn0,High Risk,42.42555555555555,9000.0,No Increase
3RmhPZZoHhglghoz,High Risk,25.35444444444445,3000.0,No Increase
oyaBBh9fNT9AuEYE,High Risk,34.97666666666666,5000.0,No Increase
W7qOXr7d0fKJg9q2,High Risk,27.726111111111116,1700.0,No Increase
ZCpsf3FVlN8bGPRP,High Risk,157.82555555555558,3000.0,No Increase
uklieYrTTfnhMTsQ,High Risk,183.92666666666668,3000.0,No Increase
y4GZdPLgQPJzt519,Low Risk,204.6211111111111,1300.0,65.0
zOdSFJ4aVoIHyinP,High Risk,21.63166666666666,9000.0,No Increase
UiM6CQChyVYow8hI,High Risk,234.21277777777783,6000.0,No Increase
jiHeVlgVE8APkesK,High Risk,75.33388888888891,1400.0,No Increase
qtoBcdOqbr8dx651,High Risk,106.8155555555556,3000.0,No Increase
Ak35lzM7tVJzkW1D,High Risk,464.343888888889,10000.0,No Increase
BZ6KCbIN83Oxt49o,High Risk,20.97611111111111,1000.0,No Increase
se47RL69CWcXnmSH,High Risk,96.67222222222225,6000.0,No Increase
voN6iuNdOMbzwc55,High Risk,23.88444444444444,1000.0,No Increase
k2k0C1pxCvHg0oeP,High Risk,74.19888888888886,6500.0,No Increase
i56i94r9LaniPNQT,High Risk,215.9011111111111,50000.0,No Increase
a5JmdVMvmTXRrpCW,High Risk,38.76833333333335,1700.0,No Increase
U6aOytOD5ur76e4O,High Risk,12.886111111111113,1300.0,No Increase
yznD20Yl68TQsZW5,High Risk,22.502777777777784,400.0,No Increase
rzMd4R02LRKLhoG9,High Risk,76.31,20000.0,No Increase
F0rzKL0wfW5vm8Ns,Watchlist,40.25500000000002,7000.0,Banker Decision
2xUXZe5YGWhrLxjy,High Risk,21.134444444444444,4500.0,No Increase
NwQCQQkhIX3jobRe,High Risk,31.559999999999995,13000.0,No Increase
