current_account_nbr,avg_q4_spend,std_q4_spend,cu_crd_bureau_scr,ca_avg_utilz_lst_6_mnths,ca_max_dlq_lst_6_mnths,credit_risk_category
xYaLrD9IvmbVl1PB,91.55722222222221,18.425428658292596,671.0,56.0,0.0,High Risk
JM78WNziiRWgmL8e,65.90444444444442,10.248854295924248,763.0,14.0,0.0,High Risk
bv4NLVhWTGCf8KgC,32.24333333333334,6.840764491161015,660.0,3.0,1.0,High Risk
nrXceQabYIHo31lp,204.6211111111111,52.57677063549565,,,,Watchlist
L0r6GlmV0Ngx7E9P,204.6211111111111,52.57677063549565,,,,Watchlist
JiogbNNfOSWVGjdr,204.6211111111111,52.57677063549565,,,,Watchlist
nb2pG80DDq4ucyZI,66.24444444444447,12.09557683969505,570.0,10.0,0.0,High Risk
kqrsB4FtU00uXpWU,204.6211111111111,52.57677063549565,721.0,2.0,0.0,High Risk
ppwFGSPBF57u8319,92.46777777777774,12.924769450921636,771.0,13.0,0.0,High Risk
dl4IvqYcRuuV1KhT,12.718888888888886,3.1060943678874633,764.0,0.0,0.0,Very Low Risk
xDQD4YfeSckOH1pD,204.6211111111111,52.57677063549565,,,,Watchlist
r4A6NcQMiBjNCUii,318.1055555555556,86.47003059355116,778.0,2.0,0.0,High Risk
BDv9gWilMmBWGjjV,40.473333333333336,7.789567684145401,612.0,74.0,0.0,High Risk
Afb8nfx4pLZvGESq,15.699444444444445,2.9465083468248485,654.0,0.0,0.0,Low Risk
qe96FkcjHsUmDpWf,21.63166666666666,6.586364033096759,705.0,4.0,0.0,High Risk
3bscZzjRuDHHVw3t,121.555,21.167750790516497,695.0,5.0,0.0,High Risk
y5nN49t9YN55K0nd,109.14555555555555,14.019197854967738,836.0,6.0,0.0,High Risk
Ip0WDQEQsagZ1xOv,112.9966666666667,18.306087062215447,849.0,40.0,0.0,High Risk
2bFrnhFQKhWMedvR,34.593333333333334,8.766956679017223,757.0,1.0,0.0,High Risk
a49OdyGvBc6obDdA,12.771111111111113,3.12254400221224,823.0,8.0,0.0,High Risk
FuwPKu3pU9poI6ed,39.330555555555556,9.251551521531702,801.0,21.0,0.0,High Risk
tG7tLhZEa0MC2bYP,93.58388888888891,11.85365227354937,706.0,42.0,0.0,High Risk
JBhLBtfZX6yHFjkG,28.154444444444454,13.429308695020149,842.0,0.0,0.0,Very Low Risk
